sal_code,sal_name,population,median_weekly_rent,crime_incidents,crime_rate,train_station,num_stops,transport_frequency
SAL20283,Bonnie Doon,666,296,54,0.08108108108108109,0,2,93
SAL20284,Bonshaw,949,398,63,0.06638566912539515,0,0,0
SAL20285,Bookaar,159,210,3,0.018867924528301886,0,0,0
SAL20286,Boola,0,0,1,0,0,0,0
SAL20287,Boolarong,5,0,0,0.0,0,0,0
SAL20288,Boolarra,1023,218,59,0.05767350928641251,0,2,90
SAL20289,Boolarra South,147,2077,2,0.013605442176870748,0,0,0
SAL20290,Boole Poole,9,0,0,0.0,0,0,0
SAL20291,Boolite,38,100,1,0.02631578947368421,0,0,0
SAL20292,Boomahnoomoonah,14,150,0,0.0,0,0,0
SAL20293,Boonah,18,350,0,0.0,0,0,0
SAL20294,Boorcan,142,250,4,0.028169014084507043,0,0,0
SAL20295,Boorhaman,135,300,2,0.014814814814814815,0,0,0
SAL20296,Boorhaman East,13,0,0,0.0,0,0,0
SAL20297,Boorhaman North,53,215,0,0.0,0,0,0
SAL20298,Boorolite,166,225,7,0.04216867469879518,0,0,0
SAL20299,Boorool,54,92,0,0.0,0,0,0
SAL20300,Boort,940,180,44,0.04680851063829787,0,3,46
SAL20301,Boosey,108,461,1,0.009259259259259259,0,0,0
SAL20302,Boralma,79,290,9,0.11392405063291139,0,0,0
SAL20303,Bornes Hill,33,65,0,0.0,0,0,0
SAL20304,Boronia,23607,376,1973,0.08357690515525056,1,114,2932
SAL20305,Borung,59,300,2,0.03389830508474576,0,4,23
SAL20306,Bostocks Creek,85,220,0,0.0,0,0,0
SAL20307,Botanic Ridge,6739,404,163,0.024187564920611367,0,13,24
SAL20308,Boundary Bend,154,162,11,0.07142857142857142,0,1,214
SAL20309,Bowenvale,209,295,19,0.09090909090909091,0,0,0
SAL20310,Boweya,51,200,1,0.0196078431372549,0,0,0
SAL20311,Boweya North,42,260,0,0.0,0,0,0
SAL20312,Bowmans Forest,106,160,0,0.0,0,0,0
SAL20313,Bowser,44,0,3,0.06818181818181818,0,0,0
SAL20314,Box Hill,14353,381,1483,0.10332334703546298,1,96,6113
SAL20315,Box Hill North,12337,425,305,0.024722379833022615,0.5,49,304
SAL20316,Box Hill South,8491,425,389,0.04581321399128489,0.5,50,682
SAL20317,Boxwood,19,0,1,0.05263157894736842,0,0,0
SAL20318,Bradford,12,0,0,0.0,0,0,0
SAL20319,Bradvale,46,73,2,0.043478260869565216,0,0,0
SAL20320,Braeside,25,504,221,8.84,0,34,40
SAL20321,Brandy Creek,94,0,8,0.0851063829787234,0,0,0
SAL20322,Branxholme,304,170,13,0.04276315789473684,0,3,10
SAL20323,Bravington,14,0,2,0.14285714285714285,0,0,0
SAL20324,Braybrook,9682,312,1570,0.1621565792191696,0,41,422
SAL20325,Breakaway Creek,39,168,1,0.02564102564102564,0,0,0
SAL20326,Breakwater,1060,300,121,0.11415094339622642,0,13,213
SAL20327,Breamlea,151,389,5,0.033112582781456956,0,0,0
SAL20328,Brenanah,29,125,3,0.10344827586206896,0,0,0
SAL20329,Brewster,47,250,3,0.06382978723404255,0,0,0
SAL20330,Briagolong,1133,250,56,0.04942630185348632,0,0,0
SAL20331,Briar Hill,3220,411,102,0.031677018633540374,0,19,152
SAL20332,Bridge Creek,117,200,2,0.017094017094017096,0,0,0
SAL20333,Bridgewater,133,115,23,0.17293233082706766,0,4,65
SAL20334,Bridgewater North,54,345,0,0.0,0,0,0
SAL20335,Bridgewater On Loddon,341,215,26,0.07624633431085044,0,0,0
SAL20336,Bright,2620,300,93,0.03549618320610687,0,2,300
SAL20337,Brighton,23252,600,999,0.042964046103560985,4,107,3127
SAL20338,Brighton East,16757,600,620,0.03699946291102226,0.5,70,1704
SAL20339,Brim,181,165,19,0.10497237569060773,0,4,53
SAL20340,Brimboal,11,0,0,0.0,0,0,0
SAL20341,Brimin,56,225,18,0.32142857142857145,0,0,0
SAL20342,Brimpaen,80,115,1,0.0125,0,0,0
SAL20343,Bringalbert,6,0,1,0.16666666666666666,0,0,0
SAL20344,Brit Brit,42,140,1,0.023809523809523808,0,0,0
SAL20345,Broadford,4592,314,323,0.0703397212543554,1,1,1705
SAL20346,Broadmeadows,12524,331,2715,0.2167837751517087,2,89,3411
SAL20347,Broadwater,75,115,0,0.0,0,0,0
SAL20348,Brodribb River,29,735,1,0.034482758620689655,0,0,0
SAL20349,Broken Creek,45,70,0,0.0,0,0,0
SAL20350,Bromley,46,0,1,0.021739130434782608,0,0,0
SAL20351,Brookfield,10782,350,553,0.051289185679836764,0,20,109
SAL20352,Brooklyn,1979,391,366,0.18494188984335522,0,26,403
SAL20353,Brookville,16,100,0,0.0,0,0,0
SAL20354,Broomfield,213,200,1,0.004694835680751174,0,2,35
SAL20355,Broughton,65,0,0,0.0,0,0,0
SAL20356,Brown Hill,4489,290,154,0.034306081532635334,0,17,182
SAL20357,Browns Plains,99,200,6,0.06060606060606061,0,0,0
SAL20358,Bruarong,114,250,7,0.06140350877192982,0,0,0
SAL20359,Brucknell,127,100,1,0.007874015748031496,0,0,0
SAL20360,Brumby,0,0,0,0,0,0,0
SAL20361,Brunswick,24896,441,2635,0.10584029562982006,3,98,3785
SAL20362,Brunswick East,13279,421,793,0.05971835228556367,0.5,54,1962
SAL20363,Brunswick West,14746,366,1057,0.07168045571680455,0.5,101,835
SAL20364,Bruthen,820,250,35,0.042682926829268296,0,2,5
SAL20365,Buangor,112,210,13,0.11607142857142858,0,2,386
SAL20366,Buchan,201,158,11,0.05472636815920398,0,1,2
SAL20367,Buchan South,102,125,3,0.029411764705882353,0,2,2
SAL20368,Buckland,156,275,3,0.019230769230769232,0,0,0
SAL20369,Buckley,228,360,1,0.0043859649122807015,0,0,0
SAL20370,Buckley Swamp,21,115,1,0.047619047619047616,0,0,0
SAL20371,Buckrabanyule,52,100,15,0.28846153846153844,0,0,0
SAL20372,Budgee Budgee,0,0,0,0,0,0,0
SAL20373,Budgeree,146,100,5,0.03424657534246575,0,0,0
SAL20374,Budgerum East,0,0,0,0,0,0,0
SAL20375,Buffalo,284,260,6,0.02112676056338028,0,2,185
SAL20376,Buffalo River,285,130,8,0.028070175438596492,0,0,0
SAL20377,Bulart,104,250,2,0.019230769230769232,0,0,0
SAL20378,Buldah,5,0,0,0.0,0,0,0
SAL20379,Bulga,0,0,0,0,0,0,0
SAL20380,Bulgana,19,0,2,0.10526315789473684,0,0,0
SAL20381,Bulla,668,348,121,0.18113772455089822,0,6,74
SAL20382,Bullaharre,19,330,0,0.0,0,0,0
SAL20383,Bullarook,77,245,5,0.06493506493506493,0,0,0
SAL20384,Bullarto,89,350,1,0.011235955056179775,0,2,178
SAL20385,Bullarto South,48,0,1,0.020833333333333332,0,0,0
SAL20386,Bulleen,11219,459,485,0.043230234423745434,0,55,856
SAL20387,Bullengarook,714,300,23,0.03221288515406162,0,1,15
SAL20388,Bullioh,63,250,2,0.031746031746031744,0,0,0
SAL20389,Bullumwaal,45,315,2,0.044444444444444446,0,0,0
SAL20390,Buln Buln,551,258,10,0.018148820326678767,0,2,10
SAL20391,Buln Buln East,182,250,4,0.02197802197802198,0,0,0
SAL20392,Bumberrah,101,285,13,0.12871287128712872,0,0,0
SAL20393,Bunbartha,313,275,14,0.04472843450479233,0,1,177
SAL20394,Bundalaguah,229,233,4,0.017467248908296942,0,0,0
SAL20395,Bundalong,512,350,21,0.041015625,0,2,16
SAL20396,Bundalong South,42,285,0,0.0,0,0,0
SAL20397,Bundara,0,0,0,0,0,0,0
SAL20398,Bunding,61,450,1,0.01639344262295082,0,1,5
SAL20399,Bundoora,28068,381,1983,0.07064985036340317,0,134,2352
SAL20400,Bung Bong,63,160,5,0.07936507936507936,0,0,0
SAL20401,Bungador,65,200,4,0.06153846153846154,0,0,0
SAL20402,Bungal,32,348,0,0.0,0,0,0
SAL20403,Bungalally,93,200,18,0.1935483870967742,0,0,0
SAL20404,Bungaree,302,245,15,0.04966887417218543,0,2,3
SAL20405,Bungeet,29,0,0,0.0,0,0,0
SAL20406,Bungeet West,44,210,1,0.022727272727272728,0,0,0
SAL20407,Bungil,0,0,0,0,0,0,0
SAL20408,Bunguluke,18,375,1,0.05555555555555555,0,0,0
SAL20409,Buninyong,3797,305,162,0.04266526204898604,0,19,108
SAL20410,Bunkers Hill,270,335,8,0.02962962962962963,0,0,0
SAL20411,Bunyip,3131,320,94,0.030022357074417118,1,4,1599
SAL20412,Bunyip North,95,414,7,0.07368421052631578,0,0,0
SAL20413,Buragwonduc,0,0,0,0,0,0,0
